age,year,moday,site,PopEst,PopSE
adu,2014,627,JHop,1406.67780673989,84.2176283866285
pup,2014,628,JHop,401.285349201999,19.5906692948191
adu,2014,628,JHop,1561.64488630919,84.8082562032823
adu,2014,802,JHop,1939.99742777809,261.59473109037
adu,2014,803,JHop,2582.75076351989,206.195678545499
adu,2014,823,JHop,1946.17924158241,108.468812185754
pup,2015,612,JHop,1040.44819748673,35.6189047846901
adu,2015,612,JHop,1805.33837601614,145.971721157131
pup,2015,613,JHop,1015.96941093519,64.63238919646
adu,2015,613,JHop,1794.61578076254,84.4629066700028
pup,2015,619,JHop,399.695562723061,37.5102933965243
adu,2015,619,JHop,838.486635118546,67.2312293699321
pup,2015,620,JHop,780.232987399232,39.1560521108124
adu,2015,620,JHop,1585.9083181719,81.3886973214727
adu,2015,814,JHop,1601.89725082319,241.459567048391
adu,2015,820,JHop,1278.72308845151,194.03268185867
adu,2015,825,JHop,912.096294791039,42.1809468747992
adu,2015,826,JHop,1689.99865694176,73.0190351821223
pup,2016,614,JHop,909.765778991167,37.7408643280743
adu,2016,614,JHop,1630.41005384409,90.459089155881
pup,2016,616,JHop,444.571399194423,32.2986458295828
adu,2016,616,JHop,772.279207789256,61.6082415141541
pup,2016,617,JHop,641.205301362959,39.4522905252669
adu,2016,617,JHop,1228.69324107366,77.6981269117076
adu,2016,817,JHop,1346.64967638705,51.2941510279974
adu,2016,820,JHop,1565.4188206383,90.6328173131943
adu,2016,821,JHop,1443.20004988553,130.309661436362
adu,2016,828,JHop,544.824095088328,169.447977631739
pup,2017,621,JHop,499.018694844918,26.8704373280774
adu,2017,621,JHop,1049.36323128198,50.1308349110194
pup,2017,622,JHop,418.755644783671,28.0111561734558
adu,2017,622,JHop,774.206529237755,51.483996253593
pup,2017,623,JHop,553.304239637693,30.8174490457905
adu,2017,623,JHop,1161.78492158475,89.6404188741061
pup,2017,627,JHop,319.054040082741,22.9748356097605
adu,2017,627,JHop,1022.91622533562,96.7800343214679
adu,2017,829,JHop,1000.85170224249,29.1966532956353
adu,2017,903,JHop,1287.1481471265,137.82286244031
adu,2017,905,JHop,354.383752810883,46.7925694738239
